"year","NOAACode","mean_sal_yr"
1988,5,16.8524256597123
1988,25,7.53373430990154
1988,27,12.4796271326378
1988,39,12.1804144038912
1988,43,14.5816642272497
1988,47,15.1011729618652
1988,53,13.7602004935293
1988,57,16.5574163145485
1988,60,12.3007171112821
1988,62,12.6129250195901
1988,72,16.8046513108945
1988,78,13.8780241386248
1988,82,10.2063433302696
1988,86,14.0324331080871
1988,88,10.5187167852288
1988,96,13.5451199399567
1988,99,11.464798365603
1988,127,11.4472819319307
1988,129,15.1295785070598
1988,131,10.3296288611434
1988,137,13.0626967229679
1988,168,13.9167953767744
1988,174,11.2537744845954
1988,192,16.8837586443154
1988,229,14.567007057896
1988,231,7.79800733079268
1988,237,11.7131482902204
1988,268,13.2914211763228
1988,274,9.19517124593019
1988,292,15.5308882977187
1988,331,5.61252558445096
1988,337,9.65468685152688
1988,368,11.3278984739685
1988,437,13.1256187248084
1988,537,12.7760078686544
1988,637,11.4545157901327
1989,5,15.1121097122536
1989,25,6.738705411118
1989,27,11.6691065781619
1989,39,11.4867559948829
1989,43,12.6898422196369
1989,47,13.8526075495012
1989,53,12.8306882072977
1989,57,14.9089248102656
1989,60,11.987078044876
1989,62,10.0892487060539
1989,72,15.7669053076608
1989,78,13.0169581604505
1989,82,9.03910322585146
1989,86,13.1889974130042
1989,88,9.12062671595525
1989,96,11.3260008372101
1989,99,10.8776742600367
1989,127,10.2380029261229
1989,129,14.1455087816856
1989,131,9.63634946805018
1989,137,12.3502767652034
1989,168,12.5954395035835
1989,174,9.850220710712
1989,192,16.1830866490101
1989,229,13.4859625289285
1989,231,7.28285192811633
1989,237,10.5419727210408
1989,268,11.9771887240755
1989,274,7.67326058140865
1989,292,14.1790102631959
1989,331,5.08343890265949
1989,337,8.35593852444047
1989,368,9.51993107760765
1989,437,12.8369120712099
1989,537,12.5173559525215
1989,637,10.822280924847
1990,5,14.9697524352171
1990,25,4.66515061577564
1990,27,9.90290067636032
1990,39,9.90713115312502
1990,43,12.3361813113152
1990,47,12.9443613689896
1990,53,11.9072068212798
1990,57,14.6890354522784
1990,60,10.5739114807925
1990,62,9.76209569490848
1990,72,15.6217274471807
1990,78,12.1594593767422
1990,82,7.66305148629133
1990,86,12.3692526363117
1990,88,8.21463028805555
1990,96,11.3027223643477
1990,99,9.73421131597817
1990,127,8.54584201834364
1990,129,13.0424265542764
1990,131,7.60313489121476
1990,137,11.1644637916373
1990,168,11.6054784935753
1990,174,9.32126548365957
1990,192,15.3816778795388
1990,229,12.5216798435111
1990,231,5.39152805955159
1990,237,9.92660143774256
1990,268,10.9244657279104
1990,274,7.08970439709588
1990,292,13.7411589127297
1990,331,3.72658320064302
1990,337,7.74150292918113
1990,368,8.91844061365649
1990,437,10.9807749420583
1990,537,10.9214488025864
1990,637,9.812785555589
1991,5,15.8428074784949
1991,25,8.10978796046714
1991,27,11.9522728991092
1991,39,11.7679671292927
1991,43,13.6688322876364
1991,47,14.3687058311358
1991,53,13.1104552666317
1991,57,15.6945694989754
1991,60,11.6392879984583
1991,62,11.4010875027775
1991,72,16.6148716401485
1991,78,12.9330109769894
1991,82,9.92037367706313
1991,86,13.1779818363795
1991,88,10.5657718441092
1991,96,12.4118893660223
1991,99,10.6718611220175
1991,127,11.3235338392979
1991,129,14.4934967829902
1991,131,10.2013015775788
1991,137,12.3106646692276
1991,168,13.1062232561305
1991,174,10.2967694841666
1991,192,16.3824310634333
1991,229,13.8249159720148
1991,231,7.95784603014841
1991,237,10.7060163854734
1991,268,12.6141753741658
1991,274,8.50612768439232
1991,292,14.8862570705851
1991,331,5.74263480282333
1991,337,8.7105719297187
1991,368,10.8737345357137
1991,437,12.7057214740866
1991,537,12.1539886538699
1991,637,10.5020391954063
1992,5,17.6910103345165
1992,25,7.73200973697283
1992,27,13.4368604108207
1992,39,13.2030787704944
1992,43,15.5658207975971
1992,47,16.3153731623281
1992,53,15.1412740754953
1992,57,17.5460338724337
1992,60,14.0749840984392
1992,62,12.8964362197056
1992,72,18.0769290530713
1992,78,14.8247140571032
1992,82,10.7707415989088
1992,86,14.9603359942647
1992,88,10.8368218856166
1992,96,13.9331756673578
1992,99,12.9643742649534
1992,127,11.7527022541033
1992,129,16.279107837908
1992,131,10.8554253624758
1992,137,14.7444369982681
1992,168,14.985846954147
1992,174,12.2350216546717
1992,192,18.4578393144126
1992,229,15.5365687772288
1992,231,8.15481643436381
1992,237,13.1399532844287
1992,268,14.4305585851258
1992,274,10.4879195057148
1992,292,16.7923064443704
1992,331,5.85286988851734
1992,337,10.726270067342
1992,368,12.4072206562093
1992,437,14.9796965431994
1992,537,14.7266492888934
1992,637,13.1333061459709
1993,5,14.8119928576175
1993,25,6.27305961515745
1993,27,10.9912355900224
1993,39,10.8123068168321
1993,43,12.9429675931927
1993,47,13.4532651525518
1993,53,12.4761649285444
1993,57,15.1477899707443
1993,60,11.3554959934594
1993,62,11.0395478565317
1993,72,15.6370964001222
1993,78,11.8227944346958
1993,82,8.46509042239361
1993,86,11.9860913207789
1993,88,8.93892923803957
1993,96,12.2278098753974
1993,99,10.5685975457526
1993,127,9.738025313525
1993,129,13.3778357755542
1993,131,9.07944927486796
1993,137,11.8525241611512
1993,168,11.8474773068232
1993,174,9.06654760904286
1993,192,15.3751706502498
1993,229,12.6257049515035
1993,231,6.91383244302912
1993,237,10.6699533676245
1993,268,11.1025395384158
1993,274,7.3148923016836
1993,292,14.1179301927333
1993,331,4.96711652569816
1993,337,8.75076245535008
1993,368,9.0895643547807
1993,437,11.9429891760791
